pConcernNoChorio,Cost,CRA,NSC,ECO,QALY,CRA,NSC,ECO,LY,CRA,NSC,ECO,Days in NICU,CRA,NSC,ECO,Received ABX,CRA,NSC,ECO,ICER ($/QALY),CRA,NSC,ECO
0.036,,218894.57440460715,218855.52768045873,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.13666905390987222,0.07698246848551457,0.0677831051919235,,0.06592316770111628,0.03608112632514117,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.0365,,218895.2257906433,218855.52768045873,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.13763805390987222,0.07698246848551457,0.0677831051919235,,0.0664076473859186,0.03608112632514117,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.037,,218895.87717667947,218855.52768045873,218848.26754693806,,0.0,0.0,0.0,,0.9999874997243919,0.999987499724392,0.999987499724392,,0.13860705390987224,0.07698246848551457,0.0677831051919235,,0.06689212707072092,0.03608112632514117,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.0375,,218896.52856271557,218855.52768045873,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.13957605390987224,0.07698246848551457,0.0677831051919235,,0.06737660675552326,0.03608112632514117,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.038,,218897.17994875173,218855.52768045873,218848.26754693806,,0.0,0.0,0.0,,0.9999874997243919,0.999987499724392,0.999987499724392,,0.1405450539098722,0.07698246848551457,0.0677831051919235,,0.06786108644032558,0.03608112632514117,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.0385,,218897.8313347879,218855.52768045873,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14151405390987223,0.07698246848551457,0.0677831051919235,,0.0683455661251279,0.03608112632514117,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.039,,218898.48272082402,218855.52768045873,218848.26754693806,,0.0,0.0,0.0,,0.9999874997243919,0.999987499724392,0.999987499724392,,0.14248305390987223,0.07698246848551457,0.0677831051919235,,0.06883004580993024,0.03608112632514117,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.0395,,218899.13410686015,218855.52768045873,218848.26754693806,,0.0,0.0,0.0,,0.9999874997243922,0.999987499724392,0.999987499724392,,0.14345205390987226,0.07698246848551457,0.0677831051919235,,0.06931452549473255,0.03608112632514117,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.04,,218899.7854928963,218855.52768045873,218848.26754693806,,0.0,0.0,0.0,,0.9999874997243919,0.999987499724392,0.999987499724392,,0.14442105390987225,0.07698246848551457,0.0677831051919235,,0.06979900517953488,0.03608112632514117,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.0405,,218900.43687893244,218855.52768045873,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14539005390987222,0.07698246848551457,0.0677831051919235,,0.07028348486433722,0.03608112632514117,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.041,,218901.0882649686,218855.52768045873,218848.26754693806,,0.0,0.0,0.0,,0.9999874997243919,0.999987499724392,0.999987499724392,,0.14635905390987225,0.07698246848551457,0.0677831051919235,,0.07076796454913953,0.03608112632514117,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
